p,q,AIC,BIC
1,4,-2251.699378118936,-2230.5706126117625
2,3,-2247.8805270006087,-2226.7517614934354
3,3,-2246.770630748677,-2222.120404323641
3,4,-2237.8979170692983,-2209.7262297264
4,4,-2237.5218856231604,-2205.8287373624003
4,0,-2236.2667779308845,-2218.659473341573
4,1,-2234.4547735111996,-2213.3260080040263
3,0,-2233.385204343348,-2219.299360671899
3,2,-2232.5767143073076,-2211.4479488001343
0,4,-2232.5632936666293,-2214.955989077318
0,2,-2232.548430428722,-2221.984047675135
4,2,-2232.529689717211,-2207.8794632921754
1,1,-2231.614620016639,-2221.050237263052
0,3,-2231.2826006636624,-2217.1967569922135
4,3,-2231.2140799528884,-2203.04239260999
1,2,-2230.598814690385,-2216.5129710189362
2,4,-2230.4127732488287,-2205.762546823793
2,2,-2230.2099050721636,-2212.6026004828523
2,0,-2229.970598951366,-2219.406216197779
1,3,-2228.5740336860204,-2210.966729096709
1,0,-2227.127640761678,-2220.0847189259534
3,1,-2226.5883961832246,-2208.9810915939133
2,1,-2221.7240883838117,-2207.638244712363
0,1,-2204.4429912715814,-2197.400069435857
0,0,-2127.306624984011,-2123.7851640661484
